transaction_id,date,hour,time_slot,city,persona,is_weekend,temp_f,cpi,category,product_name,size,base_price,customizations,n_customizations,upcharge,total_price,calories,sugar_g,caffeine_mg
TXN-000059,2025-01-16,13,lunch,New York,weekend_explorer,0,26.3,319.7,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Grande,4.27,none,0,0.0,5.15,90,18,
TXN-000060,2024-08-23,13,lunch,Seattle,afternoon_treat,0,59.9,314.7,Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Grande,4.21,none,0,0.0,5.0,130,17,75.0
TXN-000061,2024-09-04,10,late_morning,New York,afternoon_treat,0,65.2,315.6,Classic Espresso Drinks,Caffè Latte,Venti,4.39,Vanilla Syrup,1,0.6,5.94,170,23,150.0
TXN-000062,2026-01-08,8,morning_rush,New York,morning_commuter,0,41.2,327.5,Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Tall,4.1,none,0,0.0,5.07,150,27,75.0
TXN-000063,2025-01-08,15,afternoon,Chicago,morning_commuter,0,19.5,319.7,Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Grande,4.21,none,0,0.0,5.08,130,17,75.0
TXN-000064,2024-11-04,10,late_morning,Los Angeles,health_conscious,0,60.9,317.6,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Tall,4.28,none,0,0.0,5.13,180,41,70.0
TXN-000065,2024-08-11,9,morning_rush,Houston,weekend_explorer,1,84.3,314.7,Tazo® Tea Drinks,Tazo® Green Tea Latte,Venti,4.04,none,0,0.0,4.8,370,71,110.0
TXN-000066,2025-05-12,6,early_morning,New York,morning_commuter,0,61.1,321.4,Classic Espresso Drinks,Espresso,Grande,4.12,none,0,0.0,5.0,5,0,75.0
TXN-000067,2026-01-21,10,late_morning,Chicago,student,0,25.9,327.5,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Grande,4.3,none,0,0.0,5.31,130,17,85.0
TXN-000068,2024-09-26,7,morning_rush,New York,health_conscious,0,68.6,315.6,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Grande,4.27,none,0,0.0,5.09,90,18,
TXN-000069,2024-09-03,17,evening,New York,health_conscious,0,64.0,315.6,Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Grande,4.21,none,0,0.0,5.02,130,17,75.0
TXN-000070,2025-10-13,12,lunch,New York,afternoon_treat,0,56.7,325.1,Classic Espresso Drinks,Cappuccino,Grande,4.14,Extra Shot|Oat Milk,2,1.5,6.92,80,7,75.0
TXN-000071,2024-07-22,7,morning_rush,Chicago,health_conscious,0,71.3,314.1,Coffee,Brewed Coffee,Grande,2.55,none,0,0.0,3.02,5,0,330.0
TXN-000072,2025-02-07,7,morning_rush,New York,morning_commuter,0,34.5,319.8,Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Tall,4.59,none,0,0.0,5.54,270,45,75.0
TXN-000073,2025-11-25,8,morning_rush,New York,morning_commuter,0,45.9,326.0,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Venti,4.18,none,0,0.0,5.14,190,39,0.0
TXN-000074,2024-09-29,16,afternoon,New York,afternoon_treat,1,63.0,315.6,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Venti,5.3,none,0,0.0,6.31,330,77,130.0
TXN-000075,2025-07-15,11,late_morning,New York,weekend_explorer,0,78.2,323.3,Tazo® Tea Drinks,Tazo® Green Tea Latte,Grande,3.86,none,0,0.0,4.71,170,25,25.0
TXN-000076,2025-03-30,13,lunch,New York,weekend_explorer,1,47.7,320.3,Signature Espresso Drinks,Caramel Macchiato,Tall,4.84,none,0,0.0,5.85,140,24,75.0
TXN-000077,2024-04-29,6,early_morning,New York,morning_commuter,0,67.7,313.2,Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Grande,5.2,Oat Milk|Whipped Cream,2,0.7,6.97,150,22,10.0
TXN-000078,2024-09-15,13,lunch,New York,student,1,69.7,315.6,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Grande,4.27,Extra Shot|Oat Milk,2,1.5,6.87,90,18,
TXN-000079,2025-01-21,16,afternoon,Chicago,weekend_explorer,0,-1.0,319.7,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Venti,4.77,none,0,0.0,5.76,160,36,125.0
TXN-000080,2025-07-26,7,morning_rush,Los Angeles,health_conscious,1,69.2,323.3,Signature Espresso Drinks,Hot Chocolate (Without Whipped Cream),Tall,4.71,Extra Shot|Vanilla Syrup|Caramel Drizzle|Whipped Cream,4,2.0,8.19,190,32,20.0
TXN-000081,2024-04-17,8,morning_rush,Houston,afternoon_treat,0,76.1,313.2,Shaken Iced Beverages,Shaken Iced Tazo® Tea (With Classic Syrup),Grande,4.73,none,0,0.0,5.59,80,21,
TXN-000082,2025-07-29,10,late_morning,Los Angeles,weekend_explorer,0,70.6,323.3,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Tall,4.28,Extra Shot,1,0.8,6.2,180,41,70.0
TXN-000083,2025-09-01,19,evening,New York,weekend_explorer,0,70.8,324.2,Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Tall,4.36,none,0,0.0,5.34,170,38,0.0
TXN-000084,2024-09-18,9,morning_rush,Chicago,student,0,70.7,315.6,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Venti,5.54,none,0,0.0,6.6,310,69,0.0
TXN-000085,2024-09-08,10,late_morning,Seattle,student,1,67.8,315.6,Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Short,4.12,Caramel Drizzle|Oat Milk|Whipped Cream|Cold Foam,4,2.3,7.65,140,33,0.0
TXN-000086,2026-02-26,8,morning_rush,Los Angeles,morning_commuter,0,64.6,327.5,Coffee,Brewed Coffee,Venti,2.92,Extra Shot|Mocha Sauce|Cold Foam,3,2.4,6.57,5,0,410.0
TXN-000087,2025-11-06,9,morning_rush,New York,afternoon_treat,0,49.1,326.0,Shaken Iced Beverages,Shaken Iced Tazo® Tea (With Classic Syrup),Tall,4.13,none,0,0.0,5.08,60,15,170.0
TXN-000088,2026-01-20,13,lunch,Seattle,morning_commuter,0,38.2,327.5,Classic Espresso Drinks,Caffè Latte,Grande,4.21,Caramel Drizzle,1,0.6,5.94,100,9,75.0
TXN-000089,2025-10-25,12,lunch,New York,student,1,50.5,325.1,Classic Espresso Drinks,Cappuccino,Grande,4.14,Oat Milk,1,0.7,5.94,80,7,75.0
TXN-000090,2026-01-09,5,early_morning,New York,weekend_explorer,0,41.7,327.5,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Tall,4.28,Whipped Cream,1,0.0,5.29,180,41,70.0
TXN-000091,2025-11-14,12,lunch,New York,weekend_explorer,0,43.3,326.0,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Grande,4.84,none,0,0.0,5.96,190,37,0.0
TXN-000092,2025-03-29,9,morning_rush,New York,weekend_explorer,1,60.8,320.3,Frappuccino® Blended Coffee,Coffee,Venti,5.43,none,0,0.0,6.56,310,69,95.0
TXN-000093,2024-05-01,8,morning_rush,Seattle,morning_commuter,0,48.0,313.2,Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Grande,4.34,none,0,0.0,5.13,90,21,165.0
TXN-000094,2025-09-06,12,lunch,New York,afternoon_treat,1,74.6,,Frappuccino® Blended Coffee,Coffee,Grande,4.79,Vanilla Syrup|Oat Milk,2,1.3,,180,36,70.0
TXN-000095,2025-03-01,15,afternoon,Houston,morning_commuter,1,63.7,319.8,Shaken Iced Beverages,Iced Brewed Coffee (With Classic Syrup),Venti,5.17,none,0,0.0,6.24,130,31,235.0
TXN-000096,2024-04-22,13,lunch,Los Angeles,morning_commuter,0,61.9,313.2,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Grande,5.08,none,0,0.0,6.0,200,40,70.0
TXN-000097,2025-07-04,9,morning_rush,New York,morning_commuter,0,75.0,323.3,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Tall,4.56,none,0,0.0,5.56,170,38,0.0
TXN-000098,2024-08-08,5,early_morning,Seattle,morning_commuter,0,68.7,314.7,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Grande,4.27,none,0,0.0,5.07,90,18,
TXN-000099,2024-06-23,17,evening,Chicago,afternoon_treat,1,74.8,313.6,Coffee,Brewed Coffee,Venti,2.92,none,0,0.0,3.46,5,0,410.0
TXN-000100,2025-11-26,20,evening,Seattle,student,0,46.6,326.0,Classic Espresso Drinks,Cappuccino,Grande,4.14,none,0,0.0,5.09,80,7,75.0
TXN-000101,2025-04-13,13,lunch,Los Angeles,weekend_explorer,1,63.3,320.6,Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Grande,3.76,none,0,0.0,4.55,90,15,
TXN-000102,2024-06-11,10,late_morning,Chicago,student,0,62.9,313.6,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Venti,5.31,none,0,0.0,6.28,340,76,140.0
TXN-000103,2024-07-11,14,afternoon,Houston,student,0,79.1,314.1,Classic Espresso Drinks,Skinny Latte (Any Flavour),Tall,3.97,Oat Milk|Cold Foam,2,1.7,6.72,100,13,75.0
TXN-000104,2025-11-10,9,morning_rush,New York,afternoon_treat,0,50.1,326.0,Classic Espresso Drinks,Cappuccino,Venti,4.77,none,0,0.0,5.87,110,14,150.0
TXN-000105,2025-10-05,15,afternoon,Seattle,weekend_explorer,1,55.7,325.1,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Grande,4.84,Whipped Cream,1,0.0,5.94,190,37,0.0
TXN-000106,2024-04-12,13,lunch,New York,morning_commuter,0,60.0,313.2,Coffee,Brewed Coffee,Venti,2.92,none,0,0.0,3.45,5,0,410.0
TXN-000107,2025-02-03,13,lunch,Los Angeles,afternoon_treat,0,56.6,319.8,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Grande,5.08,Extra Shot,1,0.8,7.1,200,40,70.0
TXN-000108,2024-09-06,13,lunch,Chicago,weekend_explorer,0,65.6,315.6,Signature Espresso Drinks,Caramel Apple Spice (Without Whipped Cream),Short,4.12,none,0,0.0,4.91,140,33,0.0
TXN-000109,2025-11-29,8,morning_rush,Los Angeles,morning_commuter,1,58.5,326.0,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Tall,3.49,none,0,0.0,4.29,120,23,0.0
TXN-000110,2024-10-03,7,morning_rush,Houston,morning_commuter,0,78.8,316.5,Frappuccino® Blended Coffee,Coffee,Venti,5.43,none,0,0.0,6.49,310,69,95.0
TXN-000111,2025-11-20,12,lunch,Los Angeles,afternoon_treat,0,53.2,326.0,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Grande,4.84,none,0,0.0,5.96,190,37,0.0
TXN-000112,2025-12-14,16,afternoon,Los Angeles,student,1,57.6,326.6,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Venti,4.69,none,0,0.0,5.78,280,44,180.0
TXN-000113,2025-12-21,11,late_morning,New York,student,1,36.3,326.6,Classic Espresso Drinks,Vanilla Latte (Or Other Flavoured Latte),Tall,4.1,none,0,0.0,5.05,150,27,75.0
TXN-000114,2025-02-07,5,early_morning,New York,morning_commuter,0,34.5,319.8,Coffee,Brewed Coffee,Venti,2.92,none,0,0.0,3.52,5,0,410.0
TXN-000115,2024-09-03,8,morning_rush,Seattle,health_conscious,0,63.6,315.6,Smoothies,Banana Chocolate Smoothie,Grande,5.24,Oat Milk|Whipped Cream,2,0.7,7.08,280,34,
TXN-000116,2025-01-01,6,early_morning,Houston,weekend_explorer,0,52.4,319.0,Coffee,Brewed Coffee,Grande,2.55,Whipped Cream,1,0.0,3.07,5,0,330.0
TXN-000117,2025-04-10,7,morning_rush,New York,morning_commuter,0,41.3,320.6,Coffee,Brewed Coffee,Tall,2.18,none,0,0.0,2.64,4,0,260.0
TXN-000118,2025-02-05,6,early_morning,Houston,afternoon_treat,0,70.6,319.8,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Grande,5.53,none,0,0.0,6.67,240,44,75.0
TXN-000119,2025-11-23,12,lunch,Chicago,afternoon_treat,1,44.7,326.0,Smoothies,Orange Mango Banana Smoothie,Grande,5.37,none,0,0.0,6.61,260,37,15.0
TXN-000120,2025-11-10,8,morning_rush,New York,morning_commuter,0,50.1,326.0,Coffee,Brewed Coffee,Venti,2.92,none,0,0.0,3.59,5,0,410.0
TXN-000121,2025-01-04,8,morning_rush,Chicago,weekend_explorer,1,17.7,319.7,Tazo® Tea Drinks,Tazo® Green Tea Latte,Tall,3.24,Cold Foam,1,1.0,5.12,210,41,55.0
TXN-000122,2024-12-23,15,afternoon,Los Angeles,student,0,57.5,319.0,Tazo® Tea Drinks,Tazo® Full-Leaf Tea Latte,Venti,3.94,none,0,0.0,4.74,190,39,
TXN-000123,2025-12-20,6,early_morning,Seattle,morning_commuter,1,43.5,326.6,Signature Espresso Drinks,White Chocolate Mocha (Without Whipped Cream),Tall,4.59,none,0,0.0,5.66,270,45,75.0
TXN-000124,2025-02-20,12,lunch,Seattle,student,0,46.4,319.8,Classic Espresso Drinks,Caffè Latte,Venti,4.39,none,0,0.0,5.3,170,23,150.0
TXN-000125,2024-05-21,11,late_morning,New York,weekend_explorer,0,66.5,313.0,Classic Espresso Drinks,Caffè Americano,Grande,4.23,Oat Milk,1,0.7,5.82,15,0,225.0
TXN-000126,2024-06-29,15,afternoon,New York,afternoon_treat,1,73.6,313.6,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Grande,4.84,none,0,0.0,5.73,190,37,0.0
TXN-000127,2025-06-19,12,lunch,New York,weekend_explorer,0,78.6,322.2,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Grande,4.84,Extra Shot,1,0.8,6.86,190,37,0.0
TXN-000128,2025-12-24,11,late_morning,Seattle,weekend_explorer,0,44.1,326.6,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Venti,4.69,none,0,0.0,5.78,280,44,180.0
TXN-000129,2024-09-14,7,morning_rush,Los Angeles,morning_commuter,1,70.1,315.6,Coffee,Brewed Coffee,Tall,2.18,none,0,0.0,2.6,4,0,260.0
TXN-000130,2026-02-02,5,early_morning,New York,morning_commuter,0,19.9,327.5,Classic Espresso Drinks,Caffè Mocha (Without Whipped Cream),Tall,3.61,Vanilla Syrup,1,0.6,5.2,170,27,95.0
TXN-000131,2025-12-28,20,evening,Seattle,weekend_explorer,1,37.5,326.6,Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Grande,4.84,none,0,0.0,5.97,190,37,0.0
TXN-000132,2025-12-12,16,afternoon,New York,morning_commuter,0,28.6,326.6,Coffee,Brewed Coffee,Grande,2.55,none,0,0.0,3.14,5,0,330.0
TXN-000133,2025-10-13,7,morning_rush,Seattle,student,0,50.3,325.1,Coffee,Brewed Coffee,Venti,2.92,Caramel Drizzle,1,0.6,4.32,5,0,410.0
TXN-000134,2024-07-25,14,afternoon,New York,health_conscious,0,77.2,314.1,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Grande,3.78,Caramel Drizzle,1,0.6,5.19,90,15,0.0
TXN-000135,2025-01-04,20,evening,Chicago,afternoon_treat,1,17.7,319.7,Frappuccino® Blended Coffee,Coffee,Grande,4.79,Cold Foam,1,1.0,6.99,180,36,70.0
TXN-000136,2025-07-25,13,lunch,New York,afternoon_treat,0,85.1,323.3,Shaken Iced Beverages,Iced Brewed Coffee (With Milk & Classic Syrup),Grande,4.27,none,0,0.0,5.21,90,18,
TXN-000137,2025-08-03,7,morning_rush,Los Angeles,health_conscious,1,73.2,324.2,Coffee,Brewed Coffee,Venti,2.92,none,0,0.0,3.57,5,0,410.0
